Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track/Year
6,31,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,78,running,0,31,0,Chicago Street Course 2023
7,6,34,   Michael McDowell,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,78,running,0,42,0,Chicago Street Course 2023
8,9,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,78,running,0,29,0,Chicago Street Course 2023
9,12,54,   Ty Gibbs,Interstate Batteries   (Joe Gibbs),Toyota,78,running,1,35,0,Chicago Street Course 2023
10,15,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,78,running,0,27,0,Chicago Street Course 2023
11,1,11,   Denny Hamlin,Yahoo!   (Joe Gibbs),Toyota,78,running,0,26,0,Chicago Street Course 2023
12,24,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,78,running,0,25,0,Chicago Street Course 2023
13,22,24,   William Byron,Valvoline   (Rick Hendrick),Chevrolet,78,running,0,24,0,Chicago Street Course 2023
14,19,7,   Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,78,running,0,23,0,Chicago Street Course 2023
15,28,41,   Ryan Preece,Operating Engineers   (Stewart Haas Racing),Ford,78,running,0,22,0,Chicago Street Course 2023
16,21,43,   Erik Jones,DRAIVER   (Legacy Motor Club),Chevrolet,78,running,0,21,0,Chicago Street Course 2023
17,10,16,   A.J. Allmendinger,Bath Plant by BCI Acrylics   (Matthew Kaulig),Chevrolet,78,running,0,25,0,Chicago Street Course 2023
18,4,20,   Christopher Bell,CRAFTSMAN Racing for a Miracle   (Joe Gibbs),Toyota,78,running,37,39,2,Chicago Street Course 2023
19,25,38,   Todd Gilliland,gener8tor Skills   (Bob Jenkins),Ford,78,running,0,18,0,Chicago Street Course 2023
20,16,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,78,running,0,18,0,Chicago Street Course 2023
21,8,15,   Jenson Button,Mobil 1   (Rick Ware),Ford,78,running,0,17,0,Chicago Street Course 2023
22,34,1,   Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,78,running,0,15,0,Chicago Street Course 2023
23,27,78,   Josh Bilicki,Zeigler Auto Group   (B.J. McLeod),Chevrolet,78,running,0,0,0,Chicago Street Course 2023
24,20,6,   Brad Keselowski,Elk Grove Village   (Jack Roush),Ford,78,running,0,13,0,Chicago Street Course 2023
25,23,42,   Noah Gragson,Wendy's   (Legacy Motor Club),Chevrolet,78,running,0,12,0,Chicago Street Course 2023
26,30,51,   Andy Lally,Camping World   (Rick Ware),Ford,78,running,0,11,0,Chicago Street Course 2023
27,5,99,   Daniel Suarez,Worldwide Express   (Trackhouse Racing),Chevrolet,78,running,0,19,0,Chicago Street Course 2023
28,2,45,   Tyler Reddick,Monster Energy   (23XI Racing),Toyota,78,running,8,26,0,Chicago Street Course 2023
29,35,4,   Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,78,running,0,8,0,Chicago Street Course 2023
30,32,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,78,running,0,7,0,Chicago Street Course 2023
31,14,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,78,running,0,6,0,Chicago Street Course 2023
32,11,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,77,running,0,15,0,Chicago Street Course 2023
33,17,12,   Ryan Blaney,Menards Dutch Boy   (Roger Penske),Ford,77,running,0,4,0,Chicago Street Course 2023
34,36,47,   Ricky Stenhouse Jr,Mariano's/SunnyD   (JTG-Daugherty Racing),Chevrolet,77,running,0,3,0,Chicago Street Course 2023
35,33,77,   Ty Dillon,Chicago White Sox   (Spire Motorsports),Chevrolet,67,suspension,0,2,0,Chicago Street Course 2023
36,29,3,   Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,62,crash,0,1,0,Chicago Street Course 2023
37,13,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,40,crash,0,1,0,Chicago Street Course 2023
1,18,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,185,running,19,46,5,Atlanta 2023
2,26,99,   Daniel Suarez,Quaker State   (Trackhouse Racing),Chevrolet,185,running,0,35,0,Atlanta 2023
3,19,16,   A.J. Allmendinger,Farmsmart   (Matthew Kaulig),Chevrolet,185,running,6,40,0,Atlanta 2023
4,20,34,   Michael McDowell,Fr8Auctions.com   (Bob Jenkins),Ford,185,running,0,39,0,Atlanta 2023
5,22,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,185,running,0,32,0,Atlanta 2023
6,11,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,185,running,19,41,1,Atlanta 2023
7,24,15,   J.J. Yeley,Patriot Mobile   (Rick Ware),Ford,185,running,0,0,0,Atlanta 2023
8,17,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,185,running,0,33,0,Atlanta 2023
9,2,12,   Ryan Blaney,Wurth   (Roger Penske),Ford,185,running,20,47,1,Atlanta 2023
10,29,47,   Ricky Stenhouse Jr,Kroger/ Slim Jim   (JTG-Daugherty Racing),Chevrolet,185,running,0,27,0,Atlanta 2023
11,25,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,185,running,0,26,0,Atlanta 2023
12,10,2,   Austin Cindric,Menards Quaker State   (Roger Penske),Ford,185,running,10,36,0,Atlanta 2023
13,23,9,   Chase Elliott,NAPA/Children's   (Rick Hendrick),Chevrolet,185,running,0,24,0,Atlanta 2023
14,14,11,   Denny Hamlin,Coca-Cola   (Joe Gibbs),Toyota,185,running,0,23,0,Atlanta 2023
15,15,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,185,running,39,30,0,Atlanta 2023
16,9,38,   Todd Gilliland,Georgia Peanuts   (Bob Jenkins),Ford,185,running,0,21,0,Atlanta 2023
17,4,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,185,running,11,27,0,Atlanta 2023
18,1,10,   Aric Almirola,Smithfield / IHOP   (Stewart Haas Racing),Ford,185,running,46,20,0,Atlanta 2023
19,27,77,   Ty Dillon,Raze Energy Blue Shock   (Spire Motorsports),Chevrolet,185,running,0,18,0,Atlanta 2023
20,35,78,   B.J. McLeod,Gunk   (B.J. McLeod),Chevrolet,185,running,1,17,0,Atlanta 2023
21,33,3,   Austin Dillon,Dow Salutes Veterans   (Richard Childress),Chevrolet,185,running,0,16,0,Atlanta 2023
22,3,14,   Chase Briscoe,Magical Vacation Planner   (Stewart Haas Racing),Ford,185,running,0,15,0,Atlanta 2023
23,34,20,   Christopher Bell,Rheem   (Joe Gibbs),Toyota,185,running,0,21,0,Atlanta 2023
24,13,41,   Ryan Preece,Sony Mobile ES   (Stewart Haas Racing),Ford,185,running,0,14,0,Atlanta 2023
25,37,23,   Bubba Wallace,Leidos   (23XI Racing),Toyota,185,running,5,17,0,Atlanta 2023
26,36,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,185,running,0,11,0,Atlanta 2023
27,12,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,185,running,0,12,0,Atlanta 2023
28,5,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,184,running,0,9,0,Atlanta 2023
29,16,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,184,running,5,16,0,Atlanta 2023
30,6,4,   Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,181,running,0,7,0,Atlanta 2023
31,28,7,   Corey LaJoie,Gainbridge   (Spire Motorsports),Chevrolet,179,running,0,6,0,Atlanta 2023
32,21,51,   Cole Custer,Jacob Companies   (Rick Ware),Ford,178,running,0,0,0,Atlanta 2023
33,31,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,174,running,0,4,0,Atlanta 2023
34,7,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,150,running,0,3,0,Atlanta 2023
35,30,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,124,dvp,0,2,0,Atlanta 2023
36,8,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,111,crash,4,10,0,Atlanta 2023
37,32,62,   Austin Hill,Bennett Transportation/Beard   (Beard Motorsports),Chevrolet,92,dvp,0,0,0,Atlanta 2023
1,2,19,   Martin Truex Jr,Reser's Fine Foods   (Joe Gibbs),Toyota,301,running,254,60,7,New Hampshire 2023
2,4,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,301,running,2,45,0,New Hampshire 2023
3,15,5,   Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,301,running,6,43,0,New Hampshire 2023
4,13,4,   Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,301,running,10,38,0,New Hampshire 2023
5,9,6,   Brad Keselowski,BuildSubmarines.com   (Jack Roush),Ford,301,running,0,35,0,New Hampshire 2023
6,6,45,   Tyler Reddick,Draft Kings Network   (23XI Racing),Toyota,301,running,0,41,0,New Hampshire 2023
7,20,11,   Denny Hamlin,Mavis Tires & Brakes   (Joe Gibbs),Toyota,301,running,0,40,0,New Hampshire 2023
8,8,23,   Bubba Wallace,DraftKings   (23XI Racing),Toyota,301,running,0,29,0,New Hampshire 2023
9,11,3,   Austin Dillon,Bass Pro Shops Club   (Richard Childress),Chevrolet,301,running,12,28,0,New Hampshire 2023
10,27,14,   Chase Briscoe,Mobil 1 Gen G   (Stewart Haas Racing),Ford,301,running,0,27,0,New Hampshire 2023
11,30,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,301,running,0,26,0,New Hampshire 2023
12,18,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,301,running,0,25,0,New Hampshire 2023
13,17,34,   Michael McDowell,The Pete Store   (Bob Jenkins),Ford,301,running,0,25,0,New Hampshire 2023
14,25,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,301,running,0,27,0,New Hampshire 2023
15,26,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,301,running,0,22,0,New Hampshire 2023
16,12,99,   Daniel Suarez,SLAM! Foundation   (Trackhouse Racing),Chevrolet,301,running,0,24,0,New Hampshire 2023
17,19,31,   Justin Haley,Campers Inn RV   (Matthew Kaulig),Chevrolet,301,running,0,20,0,New Hampshire 2023
18,16,47,   Ricky Stenhouse Jr,Kroger/Drumstick   (JTG-Daugherty Racing),Chevrolet,301,running,3,19,0,New Hampshire 2023
19,14,16,   A.J. Allmendinger,Nutrien Ag Solutions   (Matthew Kaulig),Chevrolet,301,running,0,18,0,New Hampshire 2023
20,28,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,301,running,0,17,0,New Hampshire 2023
21,23,38,   Todd Gilliland,A&W Root Beer Float   (Bob Jenkins),Ford,301,running,0,16,0,New Hampshire 2023
22,5,12,   Ryan Blaney,Menards Sylvania   (Roger Penske),Ford,301,running,0,28,0,New Hampshire 2023
23,31,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,301,running,0,14,0,New Hampshire 2023
24,7,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,301,running,9,22,0,New Hampshire 2023
25,22,2,   Austin Cindric,AutoTrader   (Roger Penske),Ford,301,running,0,12,0,New Hampshire 2023
26,35,77,   Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,301,running,0,11,0,New Hampshire 2023
27,36,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,301,running,0,10,0,New Hampshire 2023
28,21,41,   Ryan Preece,Mohawk Northeast   (Stewart Haas Racing),Ford,300,running,0,9,0,New Hampshire 2023
29,1,20,   Christopher Bell,Rheem/ Watts   (Joe Gibbs),Toyota,299,running,1,14,0,New Hampshire 2023
30,33,15,   Ryan Newman,Parts Plus   (Rick Ware),Ford,299,running,0,7,0,New Hampshire 2023
31,32,78,   B.J. McLeod,Circle B Diecast   (B.J. McLeod),Chevrolet,295,running,0,6,0,New Hampshire 2023
32,29,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,268,crash,0,5,0,New Hampshire 2023
33,24,7,   Corey LaJoie,Schluter Systems   (Spire Motorsports),Chevrolet,176,running,0,4,0,New Hampshire 2023
34,3,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,168,crash,4,10,0,New Hampshire 2023
35,34,51,   Cole Custer,Biohaven/Jacob Co.   (Rick Ware),Ford,130,crash,0,0,0,New Hampshire 2023
36,10,8,   Kyle Busch,Lenovo   (Richard Childress),Chevrolet,71,crash,0,1,0,New Hampshire 2023
1,8,11,   Denny Hamlin,Mavis Tires & Brakes   (Joe Gibbs),Toyota,160,running,9,55,5,Pocono 2023
2,7,45,   Tyler Reddick,Jordan Brand   (23XI Racing),Toyota,160,running,15,47,0,Pocono 2023
3,2,19,   Martin Truex Jr,Interstate Batteries   (Joe Gibbs),Toyota,160,running,20,44,0,Pocono 2023
4,4,4,   Kevin Harvick,Busch Light Peach   (Stewart Haas Racing),Ford,160,running,0,33,0,Pocono 2023
5,11,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,160,running,4,36,0,Pocono 2023
6,5,20,   Christopher Bell,Yahoo!   (Joe Gibbs),Toyota,160,running,0,31,0,Pocono 2023
7,22,47,   Ricky Stenhouse Jr,Blue Buffalo   (JTG-Daugherty Racing),Chevrolet,160,running,0,30,0,Pocono 2023
8,26,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,160,running,0,29,0,Pocono 2023
9,24,43,   Erik Jones,U.S. Air Force   (Legacy Motor Club),Chevrolet,160,running,0,29,0,Pocono 2023
10,35,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,160,running,0,27,0,Pocono 2023
11,10,23,   Bubba Wallace,Leidos   (23XI Racing),Toyota,160,running,0,32,0,Pocono 2023
12,27,10,   Aric Almirola,Ford   (Stewart Haas Racing),Ford,160,running,0,25,0,Pocono 2023
13,21,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,160,running,0,24,0,Pocono 2023
14,1,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,160,running,60,31,0,Pocono 2023
15,36,38,   Todd Gilliland,Speedy Cash   (Bob Jenkins),Ford,160,running,0,22,0,Pocono 2023
16,13,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,160,running,0,21,0,Pocono 2023
17,16,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,160,running,0,26,0,Pocono 2023
18,18,17,   Chris Buescher,Wyndham Rewards   (Jack Roush),Ford,160,running,0,21,0,Pocono 2023
19,15,34,   Michael McDowell,Benebone   (Bob Jenkins),Ford,160,running,0,23,0,Pocono 2023
20,3,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,160,running,24,27,1,Pocono 2023
21,25,8,   Kyle Busch,Lenovo   (Richard Childress),Chevrolet,160,running,0,16,0,Pocono 2023
22,32,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,160,running,0,15,0,Pocono 2023
23,9,2,   Austin Cindric,Menards Libman   (Roger Penske),Ford,160,running,0,14,0,Pocono 2023
24,20,48,   Alex Bowman,Ally Best Friends   (Rick Hendrick),Chevrolet,160,running,0,19,0,Pocono 2023
25,31,51,   Cole Custer,Jacob Companies   (Rick Ware),Ford,160,running,0,0,0,Pocono 2023
26,28,15,   J.J. Yeley,Patriot Mobile   (Rick Ware),Ford,160,running,0,0,0,Pocono 2023
27,12,7,   Corey LaJoie,TD Bank   (Spire Motorsports),Chevrolet,160,running,5,10,0,Pocono 2023
28,33,77,   Ty Dillon,Gainbridge   (Spire Motorsports),Chevrolet,160,running,0,18,0,Pocono 2023
29,29,14,   Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,160,running,0,8,0,Pocono 2023
30,14,12,   Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,160,running,2,10,0,Pocono 2023
31,34,41,   Ryan Preece,Mohawk Northeast   (Stewart Haas Racing),Ford,159,running,0,6,0,Pocono 2023
32,30,78,   B.J. McLeod,B'laster   (B.J. McLeod),Chevrolet,159,running,0,5,0,Pocono 2023
33,19,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,153,crash,0,7,0,Pocono 2023
34,23,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,105,crash,0,3,0,Pocono 2023
35,6,22,   Joey Logano,Verizon Frontline   (Roger Penske),Ford,48,dvp,21,12,1,Pocono 2023
36,17,99,   Daniel Suarez,Jockey   (Trackhouse Racing),Chevrolet,37,crash,0,1,0,Pocono 2023
1,26,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,400,running,88,49,5,Richmond 2023
2,3,11,   Denny Hamlin,Mavis Tires & Brakes   (Joe Gibbs),Toyota,400,running,20,49,0,Richmond 2023
3,2,8,   Kyle Busch,X World Wallet   (Richard Childress),Chevrolet,400,running,0,39,0,Richmond 2023
4,23,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,34,0,Richmond 2023
5,11,41,   Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,400,running,0,41,0,Richmond 2023
6,13,6,   Brad Keselowski,BuildSubmarines.com   (Jack Roush),Ford,400,running,102,43,1,Richmond 2023
7,10,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,400,running,18,33,0,Richmond 2023
8,24,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,400,running,0,32,0,Richmond 2023
9,17,3,   Austin Dillon,Bass Pro Shops Club   (Richard Childress),Chevrolet,400,running,0,28,0,Richmond 2023
10,8,4,   Kevin Harvick,Rheem   (Stewart Haas Racing),Ford,400,running,0,33,0,Richmond 2023
11,20,14,   Chase Briscoe,Rush Truck Centers   (Stewart Haas Racing),Ford,400,running,0,26,0,Richmond 2023
12,5,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,400,running,80,41,0,Richmond 2023
13,4,9,   Chase Elliott,UniFirst   (Rick Hendrick),Chevrolet,400,running,0,31,0,Richmond 2023
14,25,12,   Ryan Blaney,BodyArmor   (Roger Penske),Ford,400,running,2,23,0,Richmond 2023
15,7,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,400,running,0,25,0,Richmond 2023
16,1,45,   Tyler Reddick,Xfinity 10G Network   (23XI Racing),Toyota,400,running,81,39,1,Richmond 2023
17,9,47,   Ricky Stenhouse Jr,Kleenex   (JTG-Daugherty Racing),Chevrolet,400,running,0,20,0,Richmond 2023
18,15,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,400,running,0,19,0,Richmond 2023
19,14,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,400,running,0,18,0,Richmond 2023
20,29,20,   Christopher Bell,Mac Tools   (Joe Gibbs),Toyota,399,running,0,17,0,Richmond 2023
21,6,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,399,running,0,20,0,Richmond 2023
22,18,34,   Michael McDowell,StageFront.VIP   (Bob Jenkins),Ford,399,running,9,15,0,Richmond 2023
23,27,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,399,running,0,14,0,Richmond 2023
24,19,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,399,running,0,13,0,Richmond 2023
25,16,38,   Todd Gilliland,Speedy Cash   (Bob Jenkins),Ford,399,running,0,12,0,Richmond 2023
26,30,2,   Austin Cindric,Menards Jack Links   (Roger Penske),Ford,399,running,0,11,0,Richmond 2023
27,36,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,399,running,0,10,0,Richmond 2023
28,12,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,398,running,0,9,0,Richmond 2023
29,32,51,   Ryan Newman,Parts Plus/Biohaven   (Rick Ware),Ford,398,running,0,8,0,Richmond 2023
30,28,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,398,running,0,7,0,Richmond 2023
31,22,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,397,running,0,6,0,Richmond 2023
32,31,7,   Corey LaJoie,FOE   (Spire Motorsports),Chevrolet,397,running,0,5,0,Richmond 2023
33,33,99,   Daniel Suarez,Jockey   (Trackhouse Racing),Chevrolet,396,running,0,4,0,Richmond 2023
34,34,77,   Ty Dillon,Gainbridge   (Spire Motorsports),Chevrolet,396,running,0,3,0,Richmond 2023
35,35,15,   J.J. Yeley,Patriot Mobile   (Rick Ware),Ford,396,running,0,0,0,Richmond 2023
36,21,78,   B.J. McLeod,FREEDOMWORKSHERE.COM   (B.J. McLeod),Chevrolet,395,running,0,1,0,Richmond 2023
1,4,17,   Chris Buescher,Castrol Edge   (Jack Roush),Ford,200,running,52,41,5,Michigan 2023
2,5,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,200,running,47,55,2,Michigan 2023
3,13,11,   Denny Hamlin,Mavis Tires & Brakes   (Joe Gibbs),Toyota,200,running,1,37,0,Michigan 2023
4,12,6,   Brad Keselowski,Nexlizet   (Jack Roush),Ford,200,running,15,48,0,Michigan 2023
5,17,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,200,running,2,43,0,Michigan 2023
6,14,99,   Daniel Suarez,Worldwide Express   (Trackhouse Racing),Chevrolet,200,running,12,45,0,Michigan 2023
7,2,1,   Ross Chastain,Jockey   (Trackhouse Racing),Chevrolet,200,running,16,30,0,Michigan 2023
8,22,4,   Kevin Harvick,Busch Light Peach   (Stewart Haas Racing),Ford,200,running,0,29,0,Michigan 2023
9,9,12,   Ryan Blaney,Menards Knauf   (Roger Penske),Ford,200,running,1,28,0,Michigan 2023
10,25,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,200,running,0,29,0,Michigan 2023
11,3,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,200,running,1,34,0,Michigan 2023
12,20,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,200,running,0,27,0,Michigan 2023
13,1,20,   Christopher Bell,Rheem   (Joe Gibbs),Toyota,200,running,1,24,0,Michigan 2023
14,6,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,200,running,0,27,0,Michigan 2023
15,31,7,   Corey LaJoie,Garner Trucking   (Spire Motorsports),Chevrolet,200,running,0,23,0,Michigan 2023
16,18,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,200,running,0,21,0,Michigan 2023
17,29,21,   Harrison Burton,Ford 20 Year Sr Master Techs   (Wood Brothers),Ford,200,running,0,20,0,Michigan 2023
18,11,23,   Bubba Wallace,Door Dash   (23XI Racing),Toyota,200,running,21,35,0,Michigan 2023
19,15,3,   Austin Dillon,Dow Mobility Science   (Richard Childress),Chevrolet,200,running,2,18,0,Michigan 2023
20,34,77,   Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,200,running,2,17,0,Michigan 2023
21,27,47,   Ricky Stenhouse Jr,Kroger/ Minute Rice   (JTG-Daugherty Racing),Chevrolet,200,running,0,16,0,Michigan 2023
22,28,41,   Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,199,running,0,15,0,Michigan 2023
23,26,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,199,running,0,14,0,Michigan 2023
24,23,34,   Michael McDowell,Love's / MTS   (Bob Jenkins),Ford,199,running,0,13,0,Michigan 2023
25,33,51,   Cole Custer,Biohaven/Jacob Co.   (Rick Ware),Ford,199,running,0,0,0,Michigan 2023
26,24,16,   A.J. Allmendinger,Farmsmart   (Matthew Kaulig),Chevrolet,199,running,0,14,0,Michigan 2023
27,36,15,   J.J. Yeley,Grill Blazers   (Rick Ware),Ford,199,running,0,0,0,Michigan 2023
28,30,62,   Austin Hill,Bennett Transportation/Beard   (Beard Motorsports),Chevrolet,198,running,0,0,0,Michigan 2023
29,32,38,   Todd Gilliland,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,197,running,0,8,0,Michigan 2023
30,16,45,   Tyler Reddick,Rocket League   (23XI Racing),Toyota,197,running,7,7,0,Michigan 2023
31,21,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,197,running,0,6,0,Michigan 2023
32,37,78,   Josh Bilicki,Zeigler Auto Group   (B.J. McLeod),Chevrolet,196,running,1,0,0,Michigan 2023
33,19,48,   Alex Bowman,Ally x Detroit Pistons   (Rick Hendrick),Chevrolet,134,steering,19,14,0,Michigan 2023
34,35,42,   Josh Berry,Sunseeker Resort   (Legacy Motor Club),Chevrolet,50,crash,0,0,0,Michigan 2023
35,7,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,46,dvp,0,2,0,Michigan 2023
36,10,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,34,crash,0,1,0,Michigan 2023
37,8,8,   Kyle Busch,Kwik Trip | Kwik Star   (Richard Childress),Chevrolet,14,crash,0,1,0,Michigan 2023
1,4,34,   Michael McDowell,Horizon Hobby   (Bob Jenkins),Ford,82,running,54,59,6,Indy 500 2023
2,3,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,82,running,1,49,0,Indy 500 2023
3,1,99,   Daniel Suarez,Freeway.com   (Trackhouse Racing),Chevrolet,82,running,6,51,0,Indy 500 2023
4,2,45,   Tyler Reddick,SiriusXM Radio   (23XI Racing),Toyota,82,running,0,44,0,Indy 500 2023
5,9,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,82,running,0,38,0,Indy 500 2023
6,13,14,   Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,82,running,0,33,0,Indy 500 2023
7,12,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,82,running,0,31,0,Indy 500 2023
8,6,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,82,running,0,36,0,Indy 500 2023
9,7,20,   Christopher Bell,Rheem / PSC Industries â€“ Johns Manville   (Joe Gibbs),Toyota,82,running,11,32,0,Indy 500 2023
10,8,91,   Shane Van Gisbergen,Enhance Health   (Trackhouse Racing),Chevrolet,82,running,1,0,0,Indy 500 2023
11,17,17,   Chris Buescher,Castrol Edge   (Jack Roush),Ford,82,running,0,26,0,Indy 500 2023
12,10,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,82,running,0,25,0,Indy 500 2023
13,16,12,   Ryan Blaney,Menards Atlas   (Roger Penske),Ford,82,running,0,24,0,Indy 500 2023
14,39,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,82,running,0,23,0,Indy 500 2023
15,20,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,82,running,0,22,0,Indy 500 2023
16,27,3,   Austin Dillon,Cowboy Channel   (Richard Childress),Chevrolet,82,running,1,21,0,Indy 500 2023
17,21,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,82,running,0,20,0,Indy 500 2023
18,19,23,   Bubba Wallace,MoneyLion   (23XI Racing),Toyota,82,running,0,19,0,Indy 500 2023
19,25,11,   Denny Hamlin,Yahoo!   (Joe Gibbs),Toyota,82,running,8,28,1,Indy 500 2023
20,22,6,   Brad Keselowski,Socios.com   (Jack Roush),Ford,82,running,0,24,0,Indy 500 2023
21,24,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,82,running,0,16,0,Indy 500 2023
22,11,33,   Brodie Kostecki,Mobile X   (Richard Childress),Chevrolet,82,running,0,15,0,Indy 500 2023
23,38,4,   Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,81,running,0,14,0,Indy 500 2023
